node,degree,clustering,betweeness,centrality,triangles,eccentricity,closeness,page_rank,eigen_centrality,square_clustering,clique,degree_average_voisin,katz
Hache P,8,0.07142857142857142,0.007418294580268563,0.041025641025641026,2,7,0.34946236559139787,0.0056664596209099125,0.04433557515094509,0.012582056892778994,6,11.0,
Mac Tyer,21,0.22380952380952382,0.04178255912100225,0.1076923076923077,47,5,0.4304635761589404,0.01223541120644527,0.1962736362255636,0.01636271207981191,30,16.714285714285715,
Pejmaxx,3,0.3333333333333333,0.010256410256410256,0.015384615384615385,1,8,0.2226027397260274,0.004414118510269408,0.0009210197130578567,1.0,2,2.6666666666666665,
Geeeko,1,0.0,0.0,0.005128205128205128,0,8,0.23838630806845965,0.0016590172389275865,0.0009114004307004556,0.0,1,5.0,
Ol Kainry,11,0.21818181818181817,0.016857723213210385,0.05641025641025641,12,6,0.39235412474849096,0.006870614771435419,0.09191646894315207,0.01366152396655282,9,16.90909090909091,
Naza,15,0.2,0.02506871041241938,0.07692307692307693,21,6,0.4020618556701031,0.009494341043813834,0.1328563048329227,0.01685671789786812,13,16.133333333333333,
Tito Prince,2,0.0,0.00011960886220517856,0.010256410256410256,0,7,0.32019704433497537,0.0018348519096827633,0.022242499309845756,0.025,2,25.0,
Isha,4,0.0,0.003113711658952923,0.020512820512820513,0,7,0.31100478468899523,0.003327061210327671,0.013611117440816507,0.013262599469496022,4,10.0,
Lalgerino,8,0.2857142857142857,0.0023690158503325873,0.041025641025641026,8,6,0.37572254335260113,0.004976758296078541,0.08469454339231511,0.014507422402159244,6,20.0,
Soolking,17,0.20588235294117646,0.022799186128979285,0.08717948717948718,28,5,0.407098121085595,0.010340558697886651,0.15374213935864672,0.018974879169401517,19,15.529411764705882,
Sneazzy,11,0.2545454545454545,0.011036394077759162,0.05641025641025641,14,6,0.36654135338345867,0.007069685841533519,0.05978796950197394,0.012579617834394905,10,13.545454545454545,
Hyacinthe,1,0.0,0.0,0.005128205128205128,0,7,0.273876404494382,0.0013489738949069461,0.0043952203272446975,0.0,1,16.0,
2Zer,1,0.0,0.0,0.005128205128205128,0,7,0.2653061224489796,0.0013819337422049192,0.003278443629373701,0.0,1,13.0,
Niska,23,0.17391304347826086,0.041247494741518224,0.11794871794871795,44,6,0.4166666666666667,0.013665544818664997,0.19064741960050435,0.018368846436443792,26,13.91304347826087,
Akhenaton,7,0.047619047619047616,0.021082100255478062,0.035897435897435895,1,7,0.3469750889679715,0.005799631077733774,0.04078168335716192,0.012738853503184714,6,12.142857142857142,
Bridjahting,2,0.0,0.0001072047463800041,0.010256410256410256,0,7,0.2906110283159464,0.001887703311375436,0.012679248079285213,0.012658227848101266,2,11.5,
Krisy,3,0.0,0.010300867517362361,0.015384615384615385,0,7,0.2813852813852814,0.0034692057554871034,0.009013663601496347,0.03225806451612903,3,6.0,
Faf Larage,2,0.0,7.930214115781126e-05,0.010256410256410256,0,7,0.2667578659370725,0.002138889194255759,0.004712282042238277,0.047619047619047616,2,6.5,
Jul,6,0.13333333333333333,0.000677202119151585,0.03076923076923077,2,6,0.3397212543554007,0.0038211429856330513,0.06541496144036973,0.03426640926640927,5,17.5,
Aketo,6,0.2,0.002145893524212811,0.03076923076923077,3,7,0.3403141361256545,0.004149997308845039,0.04066532227679528,0.01860166773572803,4,14.333333333333334,
Diams,3,0.0,0.0014076275541590275,0.015384615384615385,0,8,0.2503209242618742,0.0032152775503304916,0.0018240410834573062,0.0,3,3.3333333333333335,
Alpha Wann,13,0.1794871794871795,0.03289708172155168,0.06666666666666667,14,6,0.36044362292051757,0.009430202200478473,0.04537851118286482,0.02119013062409289,13,9.076923076923077,
Bigflo And Oli,2,1.0,0.0,0.010256410256410256,1,7,0.3155339805825243,0.0018254777649986836,0.023673897777679018,0.006622516556291391,1,22.5,
Mister V,8,0.21428571428571427,0.01049315061754081,0.041025641025641026,6,6,0.37142857142857144,0.005474649780391177,0.05177374338187933,0.009211595773503115,6,15.25,
Brulux,7,0.42857142857142855,0.001618929599792921,0.035897435897435895,9,6,0.3321976149914821,0.004549105168455693,0.05285462765560035,0.04565030146425495,5,12.428571428571429,
Jarod,6,0.0,0.00304249537368885,0.03076923076923077,0,7,0.3344768439108062,0.004263396122909449,0.025732551446522558,0.006802721088435374,6,9.833333333333334,
Youv Dee,3,0.0,0.010550302718231035,0.015384615384615385,0,7,0.2656675749318801,0.004021083803962496,0.003467601556746164,0.05263157894736842,3,4.666666666666667,
Chily,4,0.16666666666666666,0.0013511745521158428,0.020512820512820513,1,7,0.30612244897959184,0.0032211980047923893,0.018563407947723622,0.014285714285714285,3,9.25,
Hatik,13,0.11538461538461539,0.03482357701612917,0.06666666666666667,9,6,0.3786407766990291,0.009456655565332924,0.05928130330409499,0.010300044782803403,12,10.461538461538462,
Mac Kregor,5,0.6,0.0006034300280716345,0.02564102564102564,6,6,0.352622061482821,0.003482805477894201,0.049385038753644556,0.018957345971563982,3,19.0,
Rimk,6,0.4,0.0009267368105417699,0.03076923076923077,6,6,0.352622061482821,0.0038271274683554365,0.06501198520362142,0.021477975973789587,3,19.0,
Zifou,1,0.0,0.0,0.005128205128205128,0,7,0.29017857142857145,0.0013087460384717373,0.010464884850901888,0.0,1,24.0,
Kohndo,3,0.0,0.0021837308091987107,0.015384615384615385,0,7,0.2972560975609756,0.0028163078779082818,0.010142966595652872,0.02158273381294964,3,9.666666666666666,
Hayce Lemsi,12,0.09090909090909091,0.02272406866884869,0.06153846153846154,6,7,0.37072243346007605,0.008207945260519406,0.0675620691766312,0.010975853123129115,10,11.083333333333334,
Sch,7,0.3333333333333333,0.005209462281552194,0.035897435897435895,7,6,0.35071942446043164,0.004509231657404257,0.07317169894285012,0.02570777741620566,4,17.428571428571427,
S Pi,2,0.0,0.002486100392959449,0.010256410256410256,0,7,0.2932330827067669,0.002315431761539914,0.008669984685483724,0.0,2,11.5,
